"s","a","r","sp"
28663,4,0,29166
29166,6,-100,29669
29669,7,-225,30673
30673,6,-100,31177
31177,3,-25,31182
31182,7,-225,32187
32187,4,0,32192
32192,2,-100,32196
32196,1,-225,31701
31701,4,0,31706
31706,4,0,31710
31710,2,-100,31215
31215,2,-100,31219
31219,7,-225,31223
31223,1,-225,30727
30727,7,-225,30731
30731,3,-25,30235
30235,6,-100,30238
30238,1,-225,29742
29742,4,0,29245
29245,6,-100,29247
29247,4,0,28750
28750,3,-25,28252
28252,4,0,27754
27754,2,-100,26755
26755,2,-100,25756
25756,2,-100,25256
25256,1,-225,24255
24255,7,-225,24255
24255,1,-225,23253
23253,7,-225,23252
23252,1,-225,22250
22250,5,-25,21748
21748,4,0,21245
21245,1,-225,20742
20742,7,-225,20739
20739,6,-100,20736
20736,7,-225,20733
20733,4,0,20230
20230,3,-25,19726
19726,2,-100,19223
19223,1,-225,18718
18718,5,-25,18714
18714,6,-100,18710
18710,2,-100,18705
18705,1,-225,18201
18201,3,-25,18196
18196,2,-100,17691
17691,2,-100,17686
17686,2,-100,17681
17681,5,-25,18176
18176,4,0,18172
18172,4,0,18668
18668,3,-25,18663
18663,7,-225,19660
19660,4,0,20156
20156,1,-225,20153
20153,1,-225,20650
20650,6,-100,21148
21148,7,-225,22146
22146,1,-225,22644
22644,4,0,23143
23143,7,-225,24143
24143,4,0,24642
24642,1,-225,25143
25143,4,0,25643
25643,3,-25,26144
26144,2,-100,26145
26145,7,-225,27147
27147,1,-225,27648
27648,6,-100,28651
28651,6,-100,29154
29154,5,-25,30157
30157,3,-25,30161
30161,1,-225,30665
30665,5,-25,31169
31169,7,-225,31674
31674,2,-100,31679
31679,1,-225,31683
31683,4,0,32188
32188,6,-100,32693
32693,1,-225,32199
32199,6,-100,32704
32704,1,-225,32209
32209,1,-225,32214
32214,2,-100,31718
31718,4,0,31723
31723,7,-225,31728
31728,5,-25,31732
31732,1,-225,30736
30736,2,-100,30240
30240,4,0,29743
29743,1,-225,29246
29246,5,-25,28749
28749,3,-25,28251
28251,7,-225,28253
28253,6,-100,27755
27755,6,-100,27757
27757,2,-100,26758
26758,4,0,26259
26259,5,-25,25760
25760,1,-225,25260
25260,1,-225,24260
24260,3,-25,23259
23259,3,-25,22757
22757,6,-100,22755
22755,6,-100,22254
22254,1,-225,21751
21751,1,-225,20748
20748,7,-225,20745
20745,3,-25,19742
19742,1,-225,19238
19238,6,-100,19234
19234,6,-100,19230
19230,5,-25,19226
19226,6,-100,19222
19222,7,-225,19218
19218,6,-100,19714
19714,2,-100,19210
19210,3,-25,18706
18706,7,-225,19202
19202,3,-25,19198
19198,5,-25,19194
19194,6,-100,19691
19691,7,-225,20187
20187,5,-25,20684
20684,3,-25,20681
20681,5,-25,21179
21179,1,-225,20676
20676,3,-25,21173
21173,6,-100,21671
21671,5,-25,22169
22169,1,-225,22167
22167,6,-100,23166
23166,5,-25,23665
23665,4,0,24165
24165,1,-225,24164
24164,5,-25,24664
24664,6,-100,25664
25664,2,-100,25665
25665,5,-25,26166
26166,1,-225,26166
26166,2,-100,26167
26167,3,-25,26669
26669,6,-100,27170
27170,2,-100,27172
27172,7,-225,28174
28174,7,-225,28677
28677,2,-100,28679
28679,1,-225,28682
28682,6,-100,29185
29185,6,-100,29688
29688,7,-225,30191
30191,5,-25,30695
30695,6,-100,31199
31199,3,-25,30703
30703,1,-225,30707
30707,7,-225,30711
30711,5,-25,31215
31215,2,-100,30719
30719,7,-225,30723
30723,1,-225,30227
30227,1,-225,29730
29730,2,-100,29233
29233,1,-225,28235
28235,3,-25,27737
27737,5,-25,27739
27739,4,0,27241
27241,4,0,27242
27242,1,-225,26243
26243,4,0,25744
25744,7,-225,25744
25744,3,-25,25244
25244,6,-100,25244
25244,5,-25,24744
24744,6,-100,24744
24744,5,-25,24744
24744,4,0,24243
24243,2,-100,23242
23242,1,-225,22741
22741,1,-225,21738
21738,1,-225,21236
21236,6,-100,21233
21233,6,-100,21231
21231,6,-100,21228
21228,7,-225,21226
21226,3,-25,21223
21223,5,-25,20720
20720,6,-100,21218
21218,1,-225,20715
20715,1,-225,20211
20211,2,-100,19708
19708,7,-225,20205
20205,6,-100,20201
20201,1,-225,20198
20198,6,-100,20695
20695,2,-100,20192
20192,2,-100,20189
20189,2,-100,20185
20185,7,-225,20682
20682,6,-100,21179
21179,1,-225,21177
21177,1,-225,21174
21174,6,-100,21672
21672,3,-25,21670
21670,4,0,22168
22168,5,-25,22666
22666,4,0,23165
23165,2,-100,23164
23164,3,-25,23663
23663,5,-25,24163
24163,6,-100,24663
24663,3,-25,25163
25163,1,-225,25163
25163,2,-100,25663
25663,2,-100,25664
25664,7,-225,26165
26165,3,-25,26666
26666,4,0,27167
27167,3,-25,27169
27169,7,-225,28171
28171,6,-100,28673
28673,2,-100,28676
28676,5,-25,29179
29179,4,0,29182
29182,7,-225,30185
30185,1,-225,29689
29689,5,-25,30192
30192,2,-100,30196
30196,4,0,30199
30199,6,-100,30703
30703,4,0,30707
30707,4,0,30711
30711,3,-25,30214
30214,7,-225,30718
30718,7,-225,30722
30722,1,-225,30226
30226,1,-225,29729
29729,4,0,29232
29232,3,-25,28734
28734,1,-225,28237
28237,5,-25,28239
28239,2,-100,27241
25343,2,-100,24704
24704,4,0,24704
24704,5,-25,24704
24704,5,-25,25204
25204,6,-100,25204
25204,5,-25,25704
25704,4,0,25705
25705,3,-25,25205
25205,5,-25,25705
25705,6,-100,25706
25706,5,-25,26207
26207,3,-25,25707
25707,3,-25,25708
25708,3,-25,25208
25208,6,-100,25708
25708,3,-25,25709
25709,5,-25,25709
25709,5,-25,25710
25710,4,0,25710
25710,4,0,25711
25711,4,0,25711
25711,4,0,25711
25711,3,-25,25212
25212,5,-25,25212
25212,5,-25,25212
25212,5,-25,25713
25713,6,-100,25713
25713,6,-100,25714
25714,6,-100,26215
26215,5,-25,26215
26215,3,-25,25716
25716,6,-100,26217
26217,6,-100,26218
26218,5,-25,26219
26219,4,0,26220
26220,5,-25,26221
26221,5,-25,26221
26221,6,-100,26222
26222,4,0,26223
26223,4,0,25724
25724,6,-100,26225
26225,4,0,25725
25725,5,-25,25726
25726,4,0,25726
25726,5,-25,25726
25726,5,-25,25227
25227,5,-25,25227
25227,6,-100,25227
25227,4,0,25227
25227,3,-25,24727
24727,3,-25,24227
24227,4,0,24226
24226,3,-25,23725
23725,3,-25,23224
23224,3,-25,23223
23223,2,-100,22221
22221,2,-100,21719
21719,4,0,21717
21717,2,-100,21214
21214,4,0,21212
21212,5,-25,21209
21209,4,0,21207
21207,4,0,21204
21204,5,-25,21202
21202,3,-25,21199
21199,4,0,21197
21197,2,-100,21194
21194,4,0,21192
21192,4,0,21189
21189,3,-25,21187
21187,5,-25,21685
21685,4,0,21683
21683,3,-25,22181
22181,5,-25,22179
22179,5,-25,22677
22677,5,-25,23176
23176,3,-25,23675
23675,3,-25,23674
23674,2,-100,23674
23674,4,0,24173
24173,5,-25,24673
24673,4,0,24672
24672,4,0,25173
25173,3,-25,25173
25173,6,-100,26174
26174,3,-25,26174
26174,6,-100,26676
26676,3,-25,27177
27177,5,-25,27679
27679,5,-25,27681
27681,3,-25,28183
28183,5,-25,28185
28185,3,-25,28188
28188,6,-100,28690
28690,3,-25,28693
28693,6,-100,29196
29196,5,-25,29699
29699,3,-25,29703
29703,3,-25,29206
29206,4,0,29209
29209,5,-25,29712
29712,5,-25,29715
29715,3,-25,29218
29218,4,0,29221
29221,6,-100,29224
29224,4,0,29227
29227,4,0,28729
28729,5,-25,28732
28732,6,-100,28735
28735,5,-25,28737
28737,6,-100,28740
28740,4,0,28242
28242,3,-25,27744
27744,3,-25,27245
27245,6,-100,27247
27247,4,0,26748
26748,6,-100,26249
26249,6,-100,26250
26250,5,-25,26250
26250,5,-25,25751
25751,5,-25,25251
25251,5,-25,25251
25251,6,-100,24751
24751,4,0,24251
24251,4,0,23750
23750,2,-100,23249
23249,2,-100,22247
22247,3,-25,21745
21745,5,-25,21242
21242,5,-25,21240
21240,3,-25,20737
20737,5,-25,20734
20734,3,-25,20230
20230,4,0,19727
19727,2,-100,19223
19223,5,-25,19219
19219,3,-25,18715
18715,3,-25,18710
18710,2,-100,18206
18206,2,-100,17701
17701,2,-100,17696
17696,4,0,17691
17691,5,-25,18186
18186,2,-100,17681
17681,3,-25,18176
18176,3,-25,18172
18172,4,0,18667
18667,2,-100,18663
18663,2,-100,18659
18659,3,-25,19155
19155,3,-25,19151
19151,3,-25,19647
19647,3,-25,20144
20144,3,-25,20641
20641,3,-25,21138
21138,5,-25,21636
21636,2,-100,22134
22134,3,-25,22633
22633,4,0,23632
23632,3,-25,24131
24131,2,-100,24631
24631,5,-25,25131
25131,4,0,26132
26132,5,-25,26634
26634,6,-100,28136
28136,6,-100,29138
29138,4,0,29642
29642,4,0,30145
30145,3,-25,30649
30649,3,-25,31153
31153,6,-100,32158
32158,6,-100,32663
32663,4,0,33169
33169,6,-100,33675
33675,5,-25,34182
34182,4,0,34688
34688,3,-25,34695
34695,5,-25,34702
34702,3,-25,34708
34708,4,0,34715
34715,5,-25,34722
34722,3,-25,34728
34728,3,-25,34235
34235,4,0,33741
33741,5,-25,33747
33747,3,-25,32752
32752,5,-25,32757
32757,4,0,32262
32262,5,-25,31767
31767,6,-100,31271
31271,5,-25,30775
30775,6,-100,30279
30279,3,-25,29782
29782,3,-25,28784
28784,4,0,27786
27786,3,-25,27288
27288,4,0,26289
26289,6,-100,25789
25789,3,-25,24789
24789,3,-25,23788
23788,3,-25,22787
22787,4,0,22285
22285,3,-25,21282
21282,5,-25,20779
20779,3,-25,19776
19776,5,-25,19272
19272,2,-100,18267
18267,3,-25,17262
17262,3,-25,16756
16756,2,-100,15750
15750,5,-25,15744
15744,5,-25,15237
15237,3,-25,14730
14730,4,0,14723
14723,4,0,14216
14216,2,-100,13708
13708,2,-100,13700
13700,4,0,13692
13692,5,-25,13685
13685,3,-25,13677
13677,4,0,14170
14170,4,0,14663
14663,5,-25,15156
15156,2,-100,15149
15149,4,0,15643
15643,5,-25,16638
16638,3,-25,17132
17132,4,0,17628
17628,2,-100,18123
18123,3,-25,19119
19119,2,-100,19115
19115,3,-25,20112
20112,4,0,20609
20609,2,-100,21607
21607,2,-100,22105
22105,4,0,22603
22603,2,-100,23102
23102,5,-25,24602
24602,5,-25,25602
25602,4,0,26103
26103,3,-25,27105
27105,4,0,28107
28107,3,-25,28610
28610,6,-100,29613
29613,4,0,30617
30617,5,-25,31621
31621,3,-25,32127
32127,6,-100,33132
33132,6,-100,34139
34139,6,-100,35146
35146,5,-25,36154
36154,3,-25,36661
36661,3,-25,36670
36670,4,0,37178
37178,5,-25,37687
37687,3,-25,37695
37695,3,-25,37704
37704,3,-25,37713
37713,4,0,37221
37221,3,-25,37229
37229,6,-100,37238
37238,4,0,36746
36746,3,-25,36253
36253,5,-25,35761
35761,3,-25,35268
35268,5,-25,34774
34774,5,-25,34281
34281,4,0,33286
33286,3,-25,32292
32292,5,-25,31796
31796,3,-25,30800
30800,6,-100,30304
30304,5,-25,29807
29807,5,-25,28810
28810,6,-100,28312
28312,5,-25,27814
27814,4,0,26815
26815,4,0,25815
25815,5,-25,24815
24815,5,-25,24315
24315,2,-100,22813
22813,2,-100,21811
21811,4,0,20808
20808,5,-25,20305
20305,4,0,19301
19301,5,-25,18797
18797,4,0,17792
17792,5,-25,17286
17286,2,-100,15780
15780,4,0,15273
15273,2,-100,14266
14266,5,-25,13758
13758,2,-100,12750
12750,3,-25,12241
12241,2,-100,11732
11732,2,-100,10723
10723,4,0,10713
10713,4,0,10703
10703,4,0,10693
10693,2,-100,10683
10683,4,0,10674
10674,2,-100,10664
10664,4,0,11155
11155,5,-25,11646
11646,5,-25,12637
12637,2,-100,13129
13129,3,-25,13621
13621,4,0,14114
14114,3,-25,15107
15107,5,-25,16101
16101,4,0,16595
16595,5,-25,18091
18091,2,-100,18586
18586,4,0,19582
19582,2,-100,20079
20079,4,0,21077
21077,5,-25,22075
22075,2,-100,22573
22573,3,-25,23572
23572,4,0,24572
24572,3,-25,25072
25072,4,0,26073
26073,6,-100,27575
27575,5,-25,28578
28578,3,-25,29581
29581,4,0,30585
30585,4,0,31089
31089,5,-25,32594
32594,4,0,33100
33100,4,0,34107
34107,5,-25,35114
35114,4,0,36121
36121,4,0,37130
37130,6,-100,38139
38139,3,-25,38648
38648,4,0,39158
39158,6,-100,39668
39668,4,0,40178
40178,5,-25,40689
40689,3,-25,40700
40700,3,-25,40711
40711,5,-25,40722
40722,4,0,40732
40732,4,0,40243
40243,4,0,39753
39753,3,-25,39263
39263,3,-25,38772
38772,5,-25,38281
38281,3,-25,37289
37289,4,0,36297
36297,3,-25,35304
35304,6,-100,34811
34811,5,-25,34317
34317,5,-25,33322
33322,4,0,32328
32328,4,0,31332
31332,4,0,30336
30336,5,-25,29839
29839,6,-100,29342
29342,6,-100,28344
28344,4,0,27345
27345,5,-25,26847
26847,5,-25,25847
25847,3,-25,24847
24847,5,-25,23846
23846,5,-25,23345
23345,2,-100,21843
21843,4,0,20840
20840,2,-100,19836
19836,4,0,18832
18832,3,-25,17327
17327,4,0,16821
16821,3,-25,15314
15314,4,0,14807
14807,4,0,13799
13799,3,-25,12791
12791,5,-25,12282
12282,2,-100,10772
10772,2,-100,9762
9762,2,-100,9251
9251,3,-25,8240
8240,3,-25,7728
7728,4,0,7716
7716,4,0,7704
7704,2,-100,7192
7192,4,0,7180
7180,2,-100,7168
7168,3,-25,7656
7656,3,-25,7644
7644,3,-25,8133
8133,3,-25,8622
8622,3,-25,9111
9111,5,-25,10101
10101,4,0,11092
11092,3,-25,12083
12083,2,-100,12575
12575,2,-100,13067
13067,5,-25,14560
14560,5,-25,15553
15553,3,-25,16047
16047,2,-100,17042
17042,3,-25,17537
17537,5,-25,18533
18533,3,-25,19529
19529,5,-25,20526
20526,4,0,21024
21024,3,-25,22022
22022,2,-100,22520
22520,2,-100,23019
23019,3,-25,23518
23518,3,-25,24518
24518,2,-100,25018
25018,4,0,25518
25518,6,-100,26520
26520,5,-25,27522
27522,5,-25,28524
28524,6,-100,30028
30028,6,-100,31032
31032,3,-25,32037
32037,3,-25,32542
32542,3,-25,33548
33548,6,-100,34555
34555,3,-25,35562
35562,5,-25,36570
36570,4,0,37579
37579,5,-25,38588
38588,4,0,39599
39599,6,-100,40609
40609,4,0,41621
41621,4,0,42633
42633,5,-25,43146
43146,3,-25,43658
43658,5,-25,44672
44672,6,-100,45186
45186,3,-25,45200
45200,5,-25,45214
45214,6,-100,45728
45728,5,-25,45742
45742,4,0,45256
45256,6,-100,45269
45269,4,0,44283
44283,5,-25,43795
43795,4,0,42808
42808,3,-25,41819
41819,3,-25,40830
40830,6,-100,40340
40340,5,-25,39350
39350,6,-100,38860
38860,3,-25,37868
37868,4,0,36876
36876,3,-25,35884
35884,6,-100,35391
35391,4,0,34397
34397,6,-100,33903
33903,5,-25,33409
33409,5,-25,32914
32914,4,0,32419
32419,5,-25,31923
31923,5,-25,31428
31428,5,-25,30932
30932,3,-25,30435
30435,3,-25,29438
29438,6,-100,29441
29441,6,-100,29444
29444,4,0,28947
28947,4,0,28949
28949,4,0,28451
28451,5,-25,28453
28453,3,-25,27955
27955,4,0,27457
27457,6,-100,27458
27458,5,-25,27460
27460,6,99900,27461
25343,1,-225,24700
24700,1,-225,24199
24199,1,-225,24199
24199,1,-225,23698
23698,1,-225,23697
23697,1,-225,23196
23196,1,-225,23195
23195,1,-225,23194
23194,1,-225,22692
22692,1,-225,22691
22691,1,-225,22189
22189,1,-225,22187
22187,1,-225,22185
22185,1,-225,22183
22183,1,-225,22181
22181,1,-225,21679
21679,1,-225,21677
21677,1,-225,21675
21675,1,-225,21673
21673,1,-225,21671
21671,1,-225,21669
21669,1,-225,22167
22167,1,-225,22165
22165,1,-225,22163
22163,1,-225,22161
22161,1,-225,22659
22659,1,-225,22658
22658,1,-225,22656
22656,1,-225,23155
23155,1,-225,23154
23154,1,-225,23152
23152,1,-225,23652
23652,1,-225,23651
23651,1,-225,24150
24150,1,-225,24150
24150,1,-225,24649
24649,1,-225,24649
24649,1,-225,25149
25149,7,-225,25650
25650,7,-225,26651
26651,7,-225,27653
27653,7,-225,28656
28656,7,-225,29159
29159,7,-225,30162
30162,7,-225,30666
30666,7,-225,31671
31671,7,-225,32176
32176,7,-225,33182
33182,7,-225,33687
33687,7,-225,34194
34194,7,-225,34700
34700,7,-225,34707
34707,7,-225,35214
35214,7,-225,35221
35221,7,-225,35728
35728,7,-225,35736
35736,7,-225,35743
35743,7,-225,35750
35750,7,-225,35257
35257,7,-225,35264
35264,7,-225,34771
34771,7,-225,34777
34777,7,-225,34284
34284,7,-225,33790
33790,7,-225,33295
33295,7,-225,32801
32801,7,-225,32306
32306,7,-225,31810
31810,7,-225,31314
31314,7,-225,30318
30318,7,-225,29821
29821,7,-225,29324
29324,7,-225,28827
28827,7,-225,28329
28329,7,-225,27330
27330,7,-225,26832
26832,7,-225,26332
26332,7,-225,25333
25333,7,-225,24833
24833,1,-225,23832
23832,1,-225,22330
22330,1,-225,21327
21327,1,-225,19823
19823,1,-225,18319
18319,1,-225,17314
17314,1,-225,16308
16308,1,-225,14801
14801,1,-225,13793
13793,1,-225,12784
12784,1,-225,11275
11275,1,-225,10265
10265,1,-225,9754
9754,1,-225,8743
8743,1,-225,7732
7732,1,-225,7219
7219,1,-225,6707
6707,1,-225,6694
6694,1,-225,6182
6182,1,-225,6169
6169,1,-225,6156
6156,1,-225,6143
6143,1,-225,6631
6631,1,-225,7119
7119,1,-225,7607
7607,1,-225,8095
8095,1,-225,8584
8584,1,-225,9074
9074,1,-225,10063
10063,1,-225,10554
10554,1,-225,11044
11044,1,-225,11535
11535,1,-225,12527
12527,1,-225,13019
13019,1,-225,13511
13511,1,-225,14003
14003,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29509
29509,7,-225,30513
30513,7,-225,31517
31517,7,-225,32523
32523,7,-225,33529
33529,7,-225,35036
35036,7,-225,36044
36044,7,-225,37552
37552,7,-225,38562
38562,7,-225,40072
40072,7,-225,41083
41083,7,-225,42595
42595,7,-225,43608
43608,7,-225,45122
45122,7,-225,46137
46137,7,-225,47152
47152,7,-225,48168
48168,7,-225,48684
48684,7,-225,49201
49201,7,-225,49718
49718,7,-225,49735
49735,7,-225,49752
49752,7,-225,49769
49769,7,-225,49285
49285,7,-225,48802
48802,7,-225,48318
48318,7,-225,47833
47833,7,-225,47349
47349,7,-225,46863
46863,7,-225,45878
45878,7,-225,45391
45391,7,-225,44905
44905,7,-225,44418
44418,7,-225,44431
44431,7,-225,43944
43944,7,-225,43957
43957,7,99775,43970
25343,3,-25,24690
24690,4,0,25190
25190,3,-25,25191
25191,4,0,25191
25191,3,-25,25191
25191,3,-25,25191
25191,5,-25,25692
25692,5,-25,25692
25692,5,-25,26193
26193,4,0,26194
26194,4,0,26195
26195,3,-25,26196
26196,4,0,26697
26697,3,-25,26198
26198,3,-25,26199
26199,6,-100,26700
26700,3,-25,26701
26701,3,-25,26702
26702,3,-25,26203
26203,5,-25,26704
26704,4,0,26705
26705,5,-25,26706
26706,6,-100,27208
27208,3,-25,26709
26709,6,-100,27210
27210,5,-25,27212
27212,5,-25,27214
27214,6,-100,27715
27715,6,-100,27717
27717,5,-25,27719
27719,3,-25,27221
27221,6,-100,27722
27722,4,0,27224
27224,3,-25,27225
27225,4,0,26727
26727,5,-25,26728
26728,6,-100,26729
26729,5,-25,26730
26730,4,0,26231
26231,6,-100,26232
26232,6,-100,26233
26233,5,-25,26234
26234,6,-100,26235
26235,4,0,26236
26236,4,0,25736
25736,4,0,25236
25236,5,-25,25236
25236,5,-25,24736
24736,2,-100,24236
24236,5,-25,24235
24235,4,0,23735
23735,5,-25,23734
23734,5,-25,23733
23733,4,0,23231
23231,2,-100,22730
22730,2,-100,22228
22228,5,-25,21726
21726,2,-100,21223
21223,2,-100,20720
20720,4,0,20717
20717,2,-100,20214
20214,3,-25,19711
19711,2,-100,19707
19707,3,-25,19203
19203,2,-100,19199
19199,2,-100,18695
18695,2,-100,18691
18691,2,-100,18186
18186,2,-100,18182
18182,3,-25,18177
18177,2,-100,18173
18173,2,-100,18168
18168,5,-25,19164
19164,4,0,19160
19160,4,0,19657
19657,4,0,20154
20154,2,-100,20651
20651,3,-25,21148
21148,3,-25,21145
21145,4,0,22143
22143,3,-25,22642
22642,5,-25,23141
23141,5,-25,24140
24140,2,-100,24140
24140,3,-25,24640
24640,4,0,25640
25640,6,-100,26641
26641,3,-25,27142
27142,3,-25,27144
27144,3,-25,27646
27646,6,-100,28649
28649,4,0,29152
29152,5,-25,30155
30155,3,-25,30159
30159,3,-25,30663
30663,5,-25,31167
31167,4,0,31672
31672,4,0,32177
32177,6,-100,32682
32682,3,-25,32688
32688,6,-100,33193
33193,3,-25,33199
33199,3,-25,33205
33205,5,-25,33210
33210,4,0,33216
33216,6,-100,33722
33722,5,-25,33728
33728,5,-25,33234
33234,5,-25,33239
33239,3,-25,32745
32745,6,-100,32750
32750,6,-100,32255
32255,6,-100,32260
32260,3,-25,31764
31764,4,0,30768
30768,3,-25,30272
30272,6,-100,29775
29775,3,-25,28778
28778,3,-25,28280
28280,6,-100,27782
27782,4,0,26783
26783,5,-25,26284
26284,5,-25,25785
25785,5,-25,25285
25285,3,-25,24284
24284,4,0,23283
23283,4,0,22782
22782,5,-25,22280
22280,4,0,21277
21277,2,-100,20274
20274,5,-25,19771
19771,5,-25,19267
19267,4,0,18762
18762,4,0,18258
18258,4,0,17753
17753,4,0,17247
17247,5,-25,16742
16742,2,-100,16236
16236,5,-25,15730
15730,3,-25,15723
15723,5,-25,15217
15217,3,-25,15210
15210,4,0,15203
15203,3,-25,14696
14696,4,0,15189
15189,5,-25,15183
15183,3,-25,15176
15176,2,-100,15170
15170,3,-25,15663
15663,2,-100,15657
15657,5,-25,16151
16151,4,0,17146
17146,4,0,17641
17641,4,0,18136
18136,3,-25,18632
18632,4,0,19128
19128,5,-25,20125
20125,5,-25,21123
21123,4,0,22121
22121,5,-25,23119
23119,4,0,23618
23618,3,-25,24118
